,Unnamed: 0,accountId,assists,champLevel,champiom,combatPlayerScore,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,participantId,pentaKills,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,platformId,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,profileIcon,quadraKills,queueId,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicDamageDealtToChampions,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,posição,score_kmeans
1735,1735,909429,11,14,432,0,"{'10-20': 0.6000000000000001, '0-10': 0.4, '30-end': 0.6, '20-30': 0.6000000000000001}","{'10-20': 0.4500000000000002, '0-10': -0.8500000000000001, '30-end': -2.3000000000000003, '20-30': -1.6499999999999997}",909429,KR,2192,478,14439,"{'10-20': -69.75000000000006, '0-10': 4.900000000000006, '30-end': 70.29999999999995, '20-30': -14.199999999999989}","{'10-20': 466.8, '0-10': 398.6, '30-end': 551.6, '20-30': 789.9000000000001}",8,0,False,False,False,False,False,False,1520396185612,2150,3137430244,8.5.220.3006,9371,"{'10-20': 236.6, '0-10': 181.8, '30-end': 286.2, '20-30': 305.9}",8850,CHALLENGER,0,3092,3107,3060,1033,3111,2055,3364,0,1,BOTTOM,0,0,1,370,25548,11259,7672,11,/v1/stats/player_history/KR/909429,0,0,0,0,6,0,8112,1236,0,0,8126,506,0,0,8138,30,0,0,8105,4,0,0,8473,731,0,0,8453,577,0,0,8100,8400,5037,1681,13332,KR,0,0,0,0,0,0,0,0,0,0,983,0,420,0.2682926829268293,0.21621621621621626,0.14524628785765212,0.047619047619047616,0.15213815789473684,0.06208671434716359,0.1743230061777138,0.1431316579914554,0.0,0.015178544523127918,0.06334074381099514,0.1643207533216654,0.32867132867132864,0.03447621102600065,0.1397899877899878,0.15611104348510996,0.08382835452810362,0.02325581395348837,0.16020671834625322,0.007463580993473453,0.1218319253001334,0.16219512195121952,0.2811501597444089,0.3870967741935484,0.2925170068027211,DUO_SUPPORT,11,0,4,14,1296022.0,김국어,47,31956,14311,21802,3909,19,0,0,248,5,0,1370,1370,798,0,0,88,12,10,43,False,"{'10-20': 26.350000000000023, '0-10': -45.45000000000002, '30-end': -140.20000000000005, '20-30': 41.44999999999999}","{'10-20': 314.1, '0-10': 225, '30-end': 507.8, '20-30': 454.5}",sup,0.7767257976097753
1736,1736,205940681,7,16,2,0,"{'10-20': 1.6, '0-10': 0.1, '30-end': 3.2, '20-30': 1.6}","{'10-20': 0.4, '0-10': -1.1, '30-end': 0, '20-30': -1.7}",205940681,KR,6988,513,35269,"{'10-20': 38.80000000000001, '0-10': 172.8, '30-end': -507.39999999999986, '20-30': -374.80000000000007}","{'10-20': 978.1, '0-10': 740.6, '30-end': 1299.4, '20-30': 991}",6,0,False,True,False,False,False,False,1520396185612,2150,3137430244,8.5.220.3006,12418,"{'10-20': 408.4, '0-10': 259.5, '30-end': 288.4, '20-30': 369.5}",12350,CHALLENGER,0,1401,3800,3047,3193,3083,0,3364,2,7,JUNGLE,0,2,1,557,28297,560,14794,11,/v1/stats/player_history/KR/205940681,120,4,98,0,7,0,8124,270,0,0,8126,465,0,0,8136,23,0,0,8134,4,0,0,8234,28,0,0,8243,15,0,0,8100,8200,97403,8676,21797,KR,0,0,0,0,0,0,0,0,0,0,3155,0,420,0.17073170731707318,0.16216216216216214,0.1924734182708701,0.3333333333333333,0.2290296052631579,0.06876733035390982,0.008670475482682273,0.2760023133896756,0.6703910614525139,0.29351514238360704,0.3269151060703116,0.26865432494391994,0.13286713286713284,0.1551494228072068,0.144976800976801,0.26832883421525594,0.18693572945036566,0.059975520195838426,0.4483204134366925,0.09864457010863052,0.4984437527790129,0.17926829268292682,0.24600638977635786,0.25806451612903225,0.23129251700680276,NONE,11,0,11,4,35030847.0,담원 크러쉬,19,143808,14842,37474,8717,49,0,0,694,1,0,18107,5605,882,0,0,77,8,15,34,False,"{'10-20': 0.4999999999999716, '0-10': -121.79999999999998, '30-end': -213, '20-30': -92.79999999999998}","{'10-20': 529.1, '0-10': 292.8, '30-end': 340.6, '20-30': 481.4}",jg,2.0694346516810502
1737,1737,4228175,5,16,51,0,"{'10-20': 10.1, '0-10': 6.4, '30-end': 6.2, '20-30': 8.4}","{'10-20': 0.4500000000000002, '0-10': -0.8500000000000001, '30-end': -2.3000000000000003, '20-30': -1.6499999999999997}",4228175,KR,10906,2194,14117,"{'10-20': -69.75000000000006, '0-10': 4.900000000000006, '30-end': 70.29999999999995, '20-30': -14.199999999999989}","{'10-20': 548.9, '0-10': 405.3, '30-end': 1128, '20-30': 969.1}",8,1,False,False,False,False,False,False,1520396185612,2150,3137430244,8.5.220.3006,14752,"{'10-20': 489.9, '0-10': 293.5, '30-end': 367.2, '20-30': 448.1}",14000,MASTER,0,3139,0,3094,3087,3031,3006,3363,1,6,BOTTOM,1832,2,2,547,44355,1862,8944,11,/v1/stats/player_history/KR/4228175,27,0,23,0,8,0,8021,2427,0,0,9101,1606,4336,0,9103,13,20,0,8017,980,0,0,8234,28,0,0,8236,28,0,0,8000,8200,199467,13687,14540,KR,0,0,0,0,0,0,0,0,0,0,3233,0,420,0.12195121951219512,0.21621621621621626,0.2286493691682941,0.2857142857142857,0.22491776315789475,0.10779145979600913,0.028829330979918563,0.1668625585343557,0.15083798882681565,0.601075787253277,0.5157315648667998,0.17920970246752285,0.11188811188811187,0.2663178336390117,0.1524981684981685,0.17810063226333087,0.09620209731723532,0.3427172582619339,0.15439276485788114,0.016496148356377822,0.005513561582925745,0.2821138211382114,0.12460063897763578,0.06451612903225806,0.07482993197278913,DUO_CARRY,11,0,4,7,5235895.0,JayOnO,16,246850,15612,24873,4486,280,0,0,239,4,0,3028,62,1388,0,0,39,2,10,11,False,"{'10-20': 26.350000000000023, '0-10': -45.45000000000002, '30-end': -140.20000000000005, '20-30': 41.44999999999999}","{'10-20': 563.9, '0-10': 289.1, '30-end': 386.2, '20-30': 546.4}",adc,1.192127251743362
1738,1738,4084725,9,16,8,0,"{'10-20': 7.199999999999999, '0-10': 5.699999999999999, '30-end': 3.8, '20-30': 5}","{'10-20': -2.4999999999999996, '0-10': -0.8000000000000003, '30-end': -0.7999999999999998, '20-30': -1.0999999999999999}",4084725,KR,6927,1573,15121,"{'10-20': 634.3, '0-10': 175.80000000000007, '30-end': 1411.2, '20-30': 181.40000000000003}","{'10-20': 976, '0-10': 685.2, '30-end': 2897, '20-30': 906.2}",10,0,False,False,False,False,False,False,1520396185612,2150,3137430244,8.5.220.3006,14194,"{'10-20': 401.1, '0-10': 270.1, '30-end': 454.6, '20-30': 460.4}",15650,DIAMOND,0,3089,3152,3907,3158,2055,3135,3363,1,4,TOP,1010,2,1,346,146598,27589,16134,11,/v1/stats/player_history/KR/4084725,16,0,9,0,9,0,8326,2,0,0,8304,10,0,0,8345,4,0,0,8347,0,0,0,8210,0,0,0,8237,504,0,0,8300,8200,10517,1372,22763,KR,0,0,0,0,0,0,0,0,0,0,7,0,420,0.2195121951219512,0.2702702702702703,0.22000061998202053,0.19047619047619047,0.14226973684210525,0.3562622573142903,0.4271602644495022,0.3010018469804668,0.0893854748603352,0.0316920295314148,0.051697501789818766,0.2805605541449947,0.03496503496503497,0.1697119430359262,0.28402442002441997,0.2875545085459376,0.5762904505586413,0.2423500611995104,0.07299741602067182,0.001040543043615642,0.010315695864828812,0.25650406504065043,0.1853035143769968,0.12903225806451613,0.25170068027210885,SOLO,11,0,14,4,5165078.0,Limerence,5,157306,29077,40159,26873,198,0,0,113,1,0,191,116,1262,0,0,58,4,1,37,False,"{'10-20': -40.599999999999994, '0-10': -94.19999999999996, '30-end': -239, '20-30': -13.599999999999994}","{'10-20': 469.9, '0-10': 393.9, '30-end': 322.6, '20-30': 496.1}",top,1.2874732291736106
1739,1739,4430283,9,17,142,0,"{'10-20': 7.699999999999999, '0-10': 8, '30-end': 10.2, '20-30': 6.300000000000001}","{'10-20': 1.0999999999999996, '0-10': 0.7000000000000006, '30-end': 7.999999999999999, '20-30': 1.7000000000000006}",4430283,KR,7089,2264,7107,"{'10-20': -155.70000000000005, '0-10': -150.8, '30-end': -177.79999999999995, '20-30': -361.7999999999999}","{'10-20': 416.5, '0-10': 192, '30-end': 620, '20-30': 616.4000000000001}",5,1,False,False,False,False,False,False,1520396185612,2150,3137430244,8.5.220.3006,13783,"{'10-20': 402.7, '0-10': 289.1, '30-end': 404.2, '20-30': 424.4}",12525,MASTER,0,3089,1056,1026,3165,3285,3111,3340,1,3,MIDDLE,0,2,2,612,166691,23317,6057,11,/v1/stats/player_history/KR/4430283,16,0,16,0,10,0,8326,3,0,0,8304,9,0,0,8316,6335,0,0,8347,0,0,0,8234,23,0,0,8226,2417,0,0,8300,8200,19426,1123,8702,KR,0,0,0,0,0,0,0,0,0,0,550,0,420,0.2195121951219512,0.13513513513513514,0.2136303047211631,0.14285714285714285,0.25164473684210525,0.4050922381886272,0.3610169229101832,0.11300162310404654,0.0893854748603352,0.05853849630857315,0.04231508346207468,0.1072546651218971,0.3916083916083916,0.37434458949185456,0.2787106227106227,0.10990498149036568,0.05674336814565417,0.3317013463892289,0.1640826873385013,0.8763551574979026,0.3638950644730992,0.11991869918699187,0.16293929712460065,0.16129032258064516,0.14965986394557826,SOLO,11,0,7,4,5734285.0,진에어 저스티스,56,346980,28533,15349,2646,271,0,0,254,4,0,160862,4092,590,1,0,51,5,10,22,False,"{'10-20': 42.50000000000003, '0-10': -63.19999999999999, '30-end': 97.39999999999998, '20-30': 140.09999999999997}","{'10-20': 458.70000000000005, '0-10': 456.7, '30-end': 529.4, '20-30': 593.7}",mid,0.9058688786146383
1740,1740,206367010,2,15,136,0,"{'10-20': 7.699999999999999, '0-10': 6.2, '20-30': 6.3}","{'10-20': -0.5000000000000004, '0-10': -1, '20-30': -1}",206367010,KR,9206,5136,17545,"{'10-20': 344.79999999999995, '0-10': 90.19999999999997, '20-30': 552.5}","{'10-20': 913.9, '0-10': 335.2, '20-30': 1087.6999999999998}",4,1,False,False,True,False,False,False,1520391128939,1926,3137246063,8.5.220.3006,12973,"{'10-20': 454.9, '0-10': 228.4, '20-30': 423.5}",11300,DIAMOND,0,3027,3157,1026,1082,3116,3111,3363,2,6,MIDDLE,0,2,2,762,134831,12456,12684,11,/v1/stats/player_history/KR/206367010,4,0,4,0,1,0,8230,13,0,0,8224,903,0,0,8234,22,0,0,8237,436,0,0,8473,736,0,0,8435,13,0,0,8200,8400,8677,1448,12518,KR,0,0,0,0,0,0,0,0,0,0,1301,0,420,0.05555555555555555,0.26666666666666666,0.20642851459941125,0.3333333333333333,0.2576064908722109,0.5525226613339452,0.3708467309753483,0.33286096677688554,0.021505376344086027,0.02083988807896917,0.04052276607057902,0.2260423626284332,0.184,0.2040935614297315,0.19293693193644626,0.2730557658339642,0.13672620350964998,0.2853628536285363,0.18588496804667964,0.0,0.0,0.33118395128067346,0.2233009708737864,0.3076923076923077,0.1574074074074074,SOLO,11,0,3,4,40930451.0,Afreeca ChoiMi,23,143509,13904,27053,4371,232,0,0,669,1,0,0,0,1849,2,0,46,4,15,17,True,"{'10-20': -70.69999999999999, '0-10': -71.79999999999995, '20-30': 53.900000000000006}","{'10-20': 485.20000000000005, '0-10': 378.20000000000005, '20-30': 464}",mid,1.002511557570684
1745,1745,3453422,3,16,105,0,"{'10-20': 8.2, '0-10': 7.2, '20-30': 7.3}","{'10-20': 0.5000000000000004, '0-10': 1, '20-30': 1}",3453422,KR,4360,2841,11162,"{'10-20': -344.79999999999995, '0-10': -90.19999999999997, '20-30': -552.5}","{'10-20': 569.1, '0-10': 245, '20-30': 535.2}",3,0,False,False,False,False,False,False,1520391128939,1926,3137246063,8.5.220.3006,12222,"{'10-20': 461.6, '0-10': 284.29999999999995, '20-30': 379.29999999999995}",11900,DIAMOND,0,3157,1058,3158,1082,3100,3135,3364,2,6,MIDDLE,632,4,1,963,115325,14536,6608,11,/v1/stats/player_history/KR/3453422,20,0,20,0,6,0,8112,1530,0,0,8143,982,0,0,8136,12,0,0,8105,3,0,0,8234,24,0,0,8237,380,0,0,8100,8200,26124,2943,8932,KR,0,0,0,0,0,0,0,0,0,0,687,0,420,0.15789473684210525,0.16666666666666666,0.2306211789569024,0.42857142857142855,0.24020952856073835,0.3601137875258395,0.41449713422110696,0.18927047231690197,0.12269938650306747,0.08234255815419529,0.10716236390780323,0.15685861299896384,0.12280701754385966,0.2157931993159772,0.29181511056511056,0.17063244574581665,0.10426540284360188,0.2750885478158205,0.11408016443987667,0.06081782605223225,0.5893962848297214,0.2192630426851514,0.1722689075630252,0.10526315789473684,0.1507936507936508,SOLO,11,0,14,4,4481152.0,모 모,14,142974,19003,16142,1408,233,0,0,444,1,0,1523,1523,601,1,0,41,2,8,19,False,"{'10-20': 70.69999999999999, '0-10': 71.79999999999995, '20-30': -53.900000000000006}","{'10-20': 555.9, '0-10': 450, '20-30': 410.1}",mid,0.8122263330451932
1790,1790,208651164,2,17,24,0,"{'10-20': 8.1, '0-10': 5.1, '20-30': 8}","{'10-20': -0.19999999999999973, '0-10': -2.1999999999999997, '20-30': -0.8000000000000003}",208651164,KR,10816,3528,20023,"{'10-20': -130.5, '0-10': -89, '20-30': 43.60000000000001}","{'10-20': 671.7, '0-10': 510.40000000000003, '20-30': 714.8}",8,0,False,False,False,False,False,False,1520392488196,1960,3137287126,8.5.220.3006,13048,"{'10-20': 438, '0-10': 267.7, '20-30': 474.4}",12638,MASTER,0,3078,3026,3748,3047,3301,1011,3340,0,3,TOP,0,0,1,421,31619,3235,6989,11,/v1/stats/player_history/KR/208651164,44,16,11,0,1,0,8359,350,16,0,8304,9,3,0,8345,4,0,0,8352,408,0,0,8234,11,0,0,8237,336,0,0,8300,8200,155295,10323,13964,KR,0,0,0,0,0,0,0,0,0,0,3015,0,420,0.08,0.3076923076923077,0.22787684032204544,0.17647058823529413,0.1400066511473229,0.12080447166430425,0.16064955057853705,0.1911599792128224,0.2732919254658385,0.40679231444250896,0.2621181728156819,0.20883870485306213,0.1919191919191919,0.22273303536768574,0.1964403806894965,0.2113960373491232,0.07059030372291328,0.25925925925925924,0.14206642066420666,0.014356468777190282,0.01036682615629984,0.35487939460822954,0.12663755458515286,0.04166666666666666,0.13513513513513514,SOLO,11,0,4,12,54852041.0,yizhiyu,19,189918,13664,23206,1606,224,0,0,231,1,0,3003,104,2251,1,0,29,1,6,15,False,"{'10-20': 101.5, '0-10': -107.70000000000002, '20-30': -92.60000000000002}","{'10-20': 616.5, '0-10': 373.4, '20-30': 632.5}",top,0.8724709718540854
1791,1791,5482776,4,16,18,0,"{'10-20': 10.399999999999999, '0-10': 7.1, '20-30': 10.8}","{'10-20': 0.10000000000000009, '0-10': -0.6000000000000001, '20-30': -0.1499999999999999}",5482776,KR,4011,4011,10870,"{'10-20': 45.650000000000034, '0-10': 13.699999999999989, '20-30': -31.049999999999926}","{'10-20': 467.6, '0-10': 294.5, '20-30': 308.3}",2,0,False,False,False,False,False,False,1520392488196,1960,3137287126,8.5.220.3006,13414,"{'10-20': 446.9, '0-10': 284.2, '20-30': 485.5}",13475,DIAMOND,0,2055,3033,3094,3031,3087,3047,3363,2,4,BOTTOM,669,2,1,389,81743,5854,4086,11,/v1/stats/player_history/KR/5482776,12,0,12,0,2,0,8021,2525,0,0,9101,1558,4218,0,9103,14,50,0,8014,352,0,0,8233,25,30,0,8236,28,0,0,8000,8200,112551,14790,10270,KR,0,0,0,0,0,0,0,0,0,0,1625,0,420,0.16,0.07692307692307693,0.23426884856529104,0.2352941176470588,0.12936481543066178,0.3123096849127177,0.29070864577643146,0.11175843111512268,0.07453416149068323,0.2948252151248837,0.3755427468704771,0.15359306064458236,0.08080808080808081,0.2409874382968343,0.32027947899594583,0.1343293099521749,0.1910245703485561,0.34953703703703703,0.1014760147601476,0.05348657098874621,0.16277910685805422,0.06148510168689894,0.1572052401746725,0.2916666666666667,0.16216216216216214,DUO_CARRY,11,0,7,4,7895259.0,SKT T1 Bang,8,205483,22278,14746,4346,302,0,0,165,3,0,11188,1633,390,2,0,36,7,8,18,False,"{'10-20': -8.950000000000017, '0-10': -36, '20-30': -34.200000000000045}","{'10-20': 540.4, '0-10': 292.4, '20-30': 583.3}",adc,0.9845607193165179
1792,1792,210171878,5,16,4,0,"{'10-20': 8.7, '0-10': 6.9, '20-30': 6.8}","{'10-20': -1.5000000000000009, '0-10': -2.3000000000000003, '20-30': -4.440892098500626e-16}",210171878,KR,356,50,7488,"{'10-20': 61.89999999999998, '0-10': 50.599999999999994, '20-30': -32.700000000000045}","{'10-20': 529.8, '0-10': 185.8, '20-30': 809.4}",4,0,False,False,False,False,False,False,1520392488196,1960,3137287126,8.5.220.3006,12358,"{'10-20': 431.79999999999995, '0-10': 319.8, '20-30': 357.4}",12080,UNRANKED,0,3089,3100,1026,2055,3027,3158,3340,1,3,MIDDLE,0,2,1,901,140847,9501,7999,11,/v1/stats/player_history/KR/210171878,12,0,12,0,3,0,8326,2,0,0,8313,0,0,0,8316,6236,0,0,8347,0,0,0,8234,14,0,0,8237,587,0,0,8300,8200,13695,1131,10999,KR,0,0,0,0,0,0,0,0,0,0,4,0,420,0.2,0.15384615384615385,0.21582633297822176,0.17647058823529413,0.2996341868972397,0.538124147522131,0.4718180463822814,0.2187850441727524,0.07453416149068323,0.03587379340152716,0.028717974760683544,0.16449562551409558,0.2727272727272727,0.3618288882816467,0.1549929555191351,0.17652470963334094,0.16975078018548634,0.2777777777777778,0.2140221402214022,0.7361239924656028,0.01475279106858054,0.059593252404225125,0.13100436681222707,0.16666666666666666,0.13513513513513514,SOLO,11,0,4,14,66820157.0,pireanfanboy,27,308521,10781,19378,3862,240,0,0,348,1,0,153978,148,378,0,0,30,4,6,15,False,"{'10-20': -100.80000000000001, '0-10': -26.100000000000023, '20-30': -180.4}","{'10-20': 529, '0-10': 474.2, '20-30': 460.4}",mid,1.0230927131273528
1793,1793,208957043,7,13,2,0,"{'10-20': 0.30000000000000004, '0-10': 0.2, '20-30': 1.2}","{'10-20': -0.39999999999999997, '0-10': 0.2, '20-30': -1}",208957043,KR,15726,0,26451,"{'10-20': -238.9999999999999, '0-10': 100.79999999999995, '20-30': 216.39999999999998}","{'10-20': 931.1, '0-10': 801.9, '20-30': 1155.9}",9,0,False,False,False,False,False,False,1520392488196,1960,3137287126,8.5.220.3006,9351,"{'10-20': 332.79999999999995, '0-10': 266.2, '20-30': 251.1}",8750,DIAMOND,0,1412,3800,3047,1011,3082,0,3364,0,4,JUNGLE,0,0,1,384,4329,0,10605,11,/v1/stats/player_history/KR/208957043,93,0,68,0,4,0,8124,474,0,0,8126,525,0,0,8136,14,0,0,8105,5,0,0,8299,319,0,0,9104,12,50,0,8100,8000,85644,9558,20578,KR,0,0,0,0,0,0,0,0,0,0,6,0,420,0.28,0.3461538461538461,0.1633105712639061,0.2352941176470588,0.1277020285999335,0.01653950339462896,0.0,0.2900631820792648,0.577639751552795,0.2243428376838548,0.24269354797755374,0.30775443056905705,0.13131313131313133,0.131831620871356,0.2404180683745939,0.30680027328626736,0.35049008834776496,0.02083333333333333,0.4772447724477245,0.10725520380161972,0.7141148325358851,0.39334699668926376,0.1965065502183406,0.125,0.1981981981981982,NONE,11,0,11,6,56020747.0,FlaSH F,13,112409,16723,33679,7974,18,0,0,776,1,0,22435,7164,2495,0,0,45,3,5,22,False,"{'10-20': -92.59999999999997, '0-10': -24.299999999999997, '20-30': -99.60000000000002}","{'10-20': 435.20000000000005, '0-10': 288.4, '20-30': 372.3}",jg,1.942195550614467
1794,1794,202657028,7,13,98,0,"{'10-20': 3.5, '0-10': 1.7, '20-30': 2.4000000000000004}","{'10-20': 0.10000000000000009, '0-10': -0.6000000000000001, '20-30': -0.1499999999999999}",202657028,KR,447,400,31207,"{'10-20': 45.650000000000034, '0-10': 13.699999999999989, '20-30': -31.049999999999926}","{'10-20': 391.70000000000005, '0-10': 349.3, '20-30': 593.4000000000001}",3,0,False,False,False,False,False,False,1520392488196,1960,3137287126,8.5.220.3006,9088,"{'10-20': 303.5, '0-10': 201.8, '20-30': 299.7}",8775,DIAMOND,0,3067,3190,3401,2055,3109,3047,3364,1,3,BOTTOM,0,2,1,912,3199,1547,6882,11,/v1/stats/player_history/KR/202657028,0,0,0,0,5,0,8439,653,0,0,8473,704,0,0,8429,69,16,13,8453,538,892,0,8347,0,0,0,8304,9,0,0,8400,8300,14570,3581,11054,KR,0,0,0,0,0,0,0,0,0,0,17,0,420,0.28,0.1153846153846154,0.15871740687053565,0.17647058823529413,0.30329231792484196,0.012222192506218074,0.07682375726275016,0.1882333634200377,0.0,0.03816583934722532,0.09092755757560368,0.16531817841920288,0.3232323232323233,0.04261901718247718,0.08786911642082866,0.1709496697790936,0.21814425739527926,0.0925925925925926,0.06519065190651907,0.088777763966841,0.09798644338118022,0.13069525461138262,0.38864628820960706,0.375,0.36936936936936937,DUO_SUPPORT,11,0,4,14,20581773.0,1874  Eason,32,36340,6112,18766,4963,80,0,0,106,5,0,18570,983,829,0,0,89,9,12,41,False,"{'10-20': -8.950000000000017, '0-10': -36, '20-30': -34.200000000000045}","{'10-20': 341, '0-10': 297.4, '20-30': 442.5}",sup,1.0503060351498679
1795,1795,2373850,7,17,202,0,"{'10-20': 10.6, '0-10': 8.7, '20-30': 10.5}","{'10-20': -0.10000000000000009, '0-10': 0.6000000000000001, '20-30': 0.1499999999999999}",2373850,KR,24883,12911,8411,"{'10-20': -45.650000000000034, '0-10': -13.699999999999989, '20-30': 31.049999999999926}","{'10-20': 376.9, '0-10': 247.5, '20-30': 394.9}",3,1,False,False,False,True,False,False,1520392488196,1960,3137287126,8.5.220.3006,16143,"{'10-20': 430.59999999999997, '0-10': 366.9, '20-30': 529.4}",13375,CHALLENGER,1,3142,3147,3094,3047,3031,1036,3363,1,5,BOTTOM,1923,3,3,770,7178,695,3562,11,/v1/stats/player_history/KR/2373850,31,0,17,0,6,0,8229,1549,0,0,8226,1555,0,0,8233,23,30,0,8236,28,0,0,8304,8,3,0,8345,4,0,0,8200,8300,237388,17685,8552,KR,0,0,0,0,0,0,0,0,0,0,1625,0,420,0.16666666666666666,0.17647058823529413,0.2253444449097533,0.19230769230769232,0.2311618132692885,0.027348512557912704,0.01958518852505213,0.1497330699062592,0.13716814159292035,0.4126140438394165,0.4453089590572594,0.12109369468869915,0.1728395061728395,0.23933629495356426,0.2309899569583931,0.12077957988882215,0.0661274456224724,0.32661290322580644,0.1035668242372153,0.023131401871911032,0.07187894073139975,0.0526869382291069,0.19747899159663865,0.1,0.10400000000000001,DUO_CARRY,11,0,7,4,3131594.0,칭찬은항상짜릿해,14,249280,18837,12667,1815,324,0,0,241,3,1,4713,456,551,5,0,47,3,12,13,True,"{'10-20': 8.950000000000017, '0-10': 36, '20-30': 34.200000000000045}","{'10-20': 482, '0-10': 391.5, '20-30': 593.3}",adc,0.9859527550014242
1796,1796,205956578,10,15,223,0,"{'10-20': 3.1, '0-10': 1.2999999999999998, '20-30': 3}","{'10-20': -0.10000000000000009, '0-10': 0.6000000000000001, '20-30': 0.1499999999999999}",205956578,KR,2396,449,26454,"{'10-20': -45.650000000000034, '0-10': -13.699999999999989, '20-30': 31.049999999999926}","{'10-20': 391.1, '0-10': 368.9, '20-30': 568.9000000000001}",2,1,False,False,True,False,False,False,1520392488196,1960,3137287126,8.5.220.3006,11014,"{'10-20': 345.6, '0-10': 155.9, '20-30': 397.79999999999995}",9075,CHALLENGER,0,2055,3067,3190,3111,3109,3401,3364,1,4,BOTTOM,0,4,2,371,13329,6180,2605,11,/v1/stats/player_history/KR/205956578,0,0,0,0,7,0,8465,2761,0,0,8473,543,0,0,8444,1040,0,0,8242,8,0,0,9111,883,0,0,9105,24,10,0,8400,8000,10232,1130,13354,KR,0,0,0,0,0,0,0,0,0,0,23,0,420,0.2380952380952381,0.1176470588235294,0.1537473651883803,0.15384615384615385,0.11137796457520263,0.050784107534747616,0.17415318717240602,0.10950439278658204,0.0,0.017784668545018745,0.028453442111094324,0.18908854056044064,0.2469135802469136,0.03881341888556157,0.10159535984500116,0.16710050821438446,0.2244325427186942,0.08165322580645161,0.06832831972496776,0.08276850438529759,0.15353089533417402,0.14964620386307134,0.3151260504201681,0.36666666666666653,0.29600000000000004,DUO_SUPPORT,11,0,4,14,35361366.0,테디의댕댕이,20,40426,8285,17525,6160,81,0,0,159,5,0,16864,974,1565,0,0,75,11,11,37,True,"{'10-20': 8.950000000000017, '0-10': 36, '20-30': 34.200000000000045}","{'10-20': 417.29999999999995, '0-10': 270.3, '20-30': 500.90000000000003}",sup,0.9024067880271204
